24:1　亚伯拉罕年纪老迈，向来在一切事上耶和华都赐福给他。 
24:2　亚伯拉罕对管理他全业最老的仆人说：“请你把手放在我大腿底下。 
24:3　我要叫你指着耶和华天地的主起誓，不要为我儿子娶这迦南地中的女子为妻。 
24:4　你要往我本地本族去，为我的儿子以撒娶一个妻子。” 
24:5　仆人对他说：“倘若女子不肯跟我到这地方来，我必须将你的儿子带回你原出之地吗？” 
24:6　亚伯拉罕对他说：“你要谨慎，不要带我的儿子回那里去。 
24:7　耶和华天上的主，曾带领我离开父家和本族的地，对我说话，向我起誓说：‘我要将这地赐给你的后裔。’他必差遣使者在你面前，你就可以从那里为我儿子娶一个妻子。　 
24:8　倘若女子不肯跟你来，我使你起的誓就与你无干了，只是不可带我的儿子回那里去。” 
24:9　仆人就把手放在他主人亚伯拉罕的大腿底下，为这事向他起誓。 
24:10　那仆人从他主人的骆驼里取了十匹骆驼，并带些他主人各样的财物，起身往美索不达米亚去，到了拿鹤的城。 
24:11　天将晚，众女子出来打水的时候，他便叫骆驼跪在城外的水井那里。 
24:12　他说：“耶和华我主人亚伯拉罕的　神啊，求你施恩给我主人亚伯拉罕，使我今日遇见好机会。 
24:13　我现今站在井旁，城内居民的女子们正出来打水。 
24:14　我向哪一个女子说：‘请你拿下水瓶来，给我水喝。’她若说：‘请喝，我也给你的骆驼喝。’愿那女子就作你所预定给你仆人以撒的妻。这样，我便知道你施恩给我主人了。” 
24:15　话还没有说完，不料，利百加肩头上扛着水瓶出来。利百加是彼土利所生的，彼土利是亚伯拉罕兄弟拿鹤妻子密迦的儿子。 
24:16　那女子容貌极其俊美，还是处女，也未曾有人亲近她。她下到井旁，打满了瓶，又上来。 
24:17　仆人跑上前去迎着她说：“求你将瓶里的水给我一点喝。” 
24:18　女子说：“我主请喝。”就急忙拿下瓶来，托在手上给他喝。 
24:19　女子给他喝了，就说：“我再为你的骆驼打水，叫骆驼也喝足。”　 
24:20　她就急忙把瓶里的水倒在槽里，又跑到井旁打水，就为所有的骆驼打上水来。 
24:21　那人定睛看她，一句话也不说，要晓得耶和华赐他通达的道路没有。 
24:22　骆驼喝足了，那人就拿一个金环，重半舍客勒，两个金镯，重十舍客勒，给了那女子， 
24:23　说：“请告诉我，你是谁的女儿？你父亲家里有我们住宿的地方没有？” 
24:24　女子说：“我是密迦与拿鹤之子彼土利的女儿。” 
24:25　又说：“我们家里足有粮草，也有住宿的地方。” 
24:26　那人就低头向耶和华下拜，　 
