1:1　大利乌王第二年八月，耶和华的话临到易多的孙子比利家的儿子先知撒迦利亚说： 
1:2　“耶和华曾向你们列祖大大发怒。 
1:3　所以你要对以色列人说：万军之耶和华如此说：‘你们要转向我，我就转向你们。’这是万军之耶和华说的。 
1:4　不要效法你们列祖。从前的先知呼叫他们说：万军之耶和华如此说：‘你们要回头离开你们的恶道恶行！’他们却不听，也不顺从我。这是耶和华说的。 
1:5　你们的列祖在哪里呢？那些先知能永远存活吗？ 
1:6　只是我的言语和律例，就是所吩咐我仆人众先知的，岂不临到你们列祖吗？“他们就回头说：‘万军之耶和华定意按我们的行动作为向我们怎样行，他已照样行了。’” 
1:7　大利乌第二年十一月，就是细罢特月二十四日，耶和华的话临到易多的孙子比利家的儿子先知撒迦利亚说： 
1:8　“我夜间观看，见一人骑着红马，站在洼地番石榴树中间。在他身后，又有红马、黄马和白马。” 
1:9　我对与我说话的天使说：“主啊，这是什么意思？”他说：“我要指示你这是什么意思。” 
1:10　那站在番石榴树中间的人说：“这是奉耶和华差遣，在遍地走来走去的。” 
1:11　那些骑马的对站在番石榴树中间耶和华的使者说：“我们已在遍地走来走去，见全地都安息平静。” 
1:12　于是，耶和华的使者说：“万军之耶和华啊，你恼恨耶路撒冷和犹大的城邑已经七十年，你不施怜悯要到几时呢？” 
1:13　耶和华就用美善的安慰话回答那与我说话的天使。 
1:14　与我说话的天使对我说：“你要宣告说：万军之耶和华如此说：‘我为耶路撒冷、为锡安，心里极其火热。 
1:15　我甚恼怒那安逸的列国。因我从前稍微恼怒我民，他们就加害过分。’ 
1:16　“所以耶和华如此说：‘现今我回到耶路撒冷，仍施怜悯。我的殿必重建在其中，准绳必拉在耶路撒冷之上。’这是万军之耶和华说的。 
1:17　“你要再宣告说：万军之耶和华如此说：‘我的城邑必再丰盛发达。耶和华必再安慰锡安，拣选耶路撒冷。’” 
1:18　我举目观看，见有四角。 
1:19　我就问与我说话的天使说：“这是什么意思？”他回答说：“这是打散犹大、以色列和耶路撒冷的角。” 
1:20　耶和华又指四个匠人给我看。 
1:21　我说：“他们来做什么呢？”他说：“这是打散犹大的角，使人不敢抬头；但这些匠人来威吓列国，打掉他们的角，就是举起打散犹大地的角。” 
